0.0_t	0.0_f	0.0_t	0.0_f	0.0_t	0.0_f	
20.49179	1880.8600	20.49179	1887.8910	20.49179	1872.6970	
20.56631	1883.5340	20.56631	1872.9120	20.56631	1876.7060	
20.64082	1879.2780	20.64082	1878.2170	20.64082	1873.4480	
20.71534	1879.8710	20.71534	1875.8030	20.71534	1875.4630	
20.78985	1877.9460	20.78985	1879.2150	20.78985	1882.1510	
20.86437	1882.8510	20.86437	1868.4390	20.86437	1871.8600	
20.93888	1871.4730	20.93888	1874.0240	20.93888	1873.8000	
21.01340	1881.6530	21.01340	1876.6970	21.01340	1864.1050	
21.08791	1873.7440	21.08791	1874.7330	21.08791	1865.6880	
21.16243	1877.6600	21.16243	1878.3630	21.16243	1870.3400	
21.23695	1882.5050	21.23695	1874.5150	21.23695	1865.1720	
21.31146	1876.8340	21.31146	1874.6470	21.31146	1867.6430	
21.38598	1878.0800	21.38598	1875.6390	21.38598	1863.2320	
21.46049	1875.6600	21.46049	1875.0220	21.46049	1862.6540	
21.53501	1878.4520	21.53501	1875.0850	21.53501	1868.8380	
21.60952	1878.0020	21.60952	1869.0440	21.60952	1869.9710	
21.68404	1873.8750	21.68404	1875.9220	21.68404	1868.7130	
21.75856	1876.8880	21.75856	1875.3800	21.75856	1873.6540	
21.83307	1874.5750	21.83307	1872.5750	21.83307	1871.2490	
21.90759	1872.2060	21.90759	1871.9670	21.90759	1865.9770	
21.98210	1876.7890	21.98210	1870.2000	21.98210	1873.3290	
22.05662	1878.1160	22.05662	1875.6750	22.05662	1867.8720	
22.13113	1879.3230	22.13113	1869.3540	22.13113	1872.9420	
22.20565	1873.9550	22.20565	1869.8600	22.20565	1861.4080	
22.28016	1876.8670	22.28016	1869.5270	22.28016	1873.7020	
22.35468	1876.3180	22.35468	1872.8820	22.35468	1871.5320	
22.42920	1875.0130	22.42920	1870.7510	22.42920	1870.7040	
22.50371	1880.9260	22.50371	1874.9240	22.50371	1869.8450	
22.57823	1875.8620	22.57823	1871.3950	22.57823	1865.0860	
22.65274	1874.2320	22.65274	1876.4640	22.65274	1870.4180	
22.72726	1871.6540	22.72726	1872.5810	22.72726	1875.4330	
22.80177	1872.9060	22.80177	1872.6970	22.80177	1868.0780	
22.87629	1875.7670	22.87629	1873.3500	22.87629	1872.3490	
22.95080	1878.7680	22.95080	1867.0980	22.95080	1862.3260	
23.02532	1867.8780	23.02532	1871.2970	23.02532	1869.2820	
23.09984	1875.1000	23.09984	1876.0590	23.09984	1873.0880	
23.17435	1870.9540	23.17435	1875.3980	23.17435	1871.3650	
23.24887	1874.2530	23.24887	1878.5540	23.24887	1864.3770	
23.32338	1872.8170	23.32338	1873.9340	23.32338	1865.9710	
23.39790	1871.7080	23.39790	1866.1320	23.39790	1868.2930	
23.47241	1876.2230	23.47241	1873.1330	23.47241	1872.5400	
23.54693	1873.0460	23.54693	1879.1440	23.54693	1872.6110	
23.62145	1871.8990	23.62145	1868.2420	23.62145	1868.9220	
23.69596	1877.8710	23.69596	1860.7710	23.69596	1861.5280	
23.77048	1869.8420	23.77048	1877.6450	23.77048	1869.0470	
23.84499	1874.0950	23.84499	1867.5740	23.84499	1863.8190	
23.91951	1875.1800	23.91951	1878.4520	23.91951	1871.4550	
23.99402	1880.5090	23.99402	1875.4120	23.99402	1868.3460	
24.06854	1873.8480	24.06854	1872.1520	24.06854	1870.4410	
24.14305	1872.7750	24.14305	1866.5820	24.14305	1864.6480	
24.21757	1874.2320	24.21757	1870.0330	24.21757	1869.9910	
24.29209	1868.7810	24.29209	1873.2940	24.29209	1862.5410	
24.36660	1878.2050	24.36660	1866.8380	24.36660	1868.1320	
24.44112	1873.5860	24.44112	1869.8330	24.44112	1863.4650	
24.51563	1874.0330	24.51563	1872.4860	24.51563	1872.6350	
24.59015	1866.5760	24.59015	1874.6200	24.59015	1870.1400	
24.66466	1872.2000	24.66466	1870.8680	24.66466	1870.2150	
24.73918	1865.4410	24.73918	1869.4490	24.73918	1865.5660	
24.81369	1873.2520	24.81369	1870.3610	24.81369	1862.1530	
24.88821	1879.0160	24.88821	1870.4500	24.88821	1867.6070	
24.96273	1870.2090	24.96273	1867.5060	24.96273	1867.7290	
25.03724	1867.5570	25.03724	1878.0200	25.03724	1867.8040	
25.11176	1874.1880	25.11176	1865.8640	25.11176	1868.4690	
25.18627	1870.3700	25.18627	1864.4450	25.18627	1867.7650	
25.26079	1867.0200	25.26079	1874.6970	25.26079	1862.6120	
25.33530	1868.2690	25.33530	1869.9080	25.33530	1864.0910	
25.40982	1867.9680	25.40982	1869.7830	25.40982	1867.1870	
25.48434	1872.1670	25.48434	1874.1880	25.48434	1859.5370	
25.55885	1867.9950	25.55885	1868.9070	25.55885	1870.9300	
25.63337	1869.5500	25.63337	1866.7790	25.63337	1871.2130	
25.70788	1874.6610	25.70788	1871.9050	25.70788	1862.6690	
25.78240	1865.9060	25.78240	1869.7890	25.78240	1874.2000	
25.85691	1873.1030	25.85691	1873.1800	25.85691	1866.5400	
25.93143	1875.1110	25.93143	1867.2730	25.93143	1867.1750	
26.00594	1875.5730	26.00594	1870.6080	26.00594	1861.5990	
26.08046	1875.1080	26.08046	1872.9360	26.08046	1864.3350	
26.15498	1871.4760	26.15498	1872.8200	26.15498	1864.3380	
26.22949	1869.5380	26.22949	1873.8660	26.22949	1868.8770	
26.30401	1873.1950	26.30401	1870.9300	26.30401	1861.7840	
26.37852	1866.7190	26.37852	1869.1150	26.37852	1869.7170	
